SetFilter	SetFilter	RangeFilter	RangeFilter	RangeFilter	SetFilter	SetFilter	SetFilter	SetFilter	SetFilter	RangeFilter	Unit	Value	Value	Value	Value	Value	Value	Value	Value
ObsName	ObsGroup	X[m]	Y[m]	Z[m]	ConductivityZone	Layer	GageType	GageMeasurement	Species	Time[day]	Unit	Calc.	Obs.	Residual	TargetResidual	NormalizedCalc.	NormalizedObs.	NormalizedResidual	NormalizedTargetResidual
2718/A	IrrigationSaltObs	461412.2428	4327578.222	-5.369485	1	3	None	Concentration	Chloride	365	mg/L	30.9612623010882	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2719/A	IrrigationSaltObs	462777.4982	4326960.429	-6.092845	1	3	None	Concentration	Chloride	365	mg/L	16.6294477577835	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2720/A	IrrigationSaltObs	462389.9725	4328358.525	-4.709344	1	3	None	Concentration	Chloride	365	mg/L	15.0061627396376	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2721/A	IrrigationSaltObs	462567.0397	4327690.122	-5.116992	1	3	None	Concentration	Chloride	365	mg/L	15.0649993610933	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2722/A	IrrigationSaltObs	463348.9185	4328267.991	-5.621007	1	3	None	Concentration	Chloride	365	mg/L	15.9412794060604	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2723/A	IrrigationSaltObs	462003.266	4327315.258	-5.791851	1	3	None	Concentration	Chloride	365	mg/L	64.194572130432	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2724/A	IrrigationSaltObs	462670.5613	4328726.014	-4.997297	1	2	None	Concentration	Chloride	365	mg/L	15.2211964431192	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2725/A	IrrigationSaltObs	461912.3593	4330249.241	-3.777174	1	3	None	Concentration	Chloride	365	mg/L	15.0042042421861	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2726/A	IrrigationSaltObs	461195.1208	4328784.171	-3.565586	1	3	None	Concentration	Chloride	365	mg/L	15.0222563625558	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2727/A	IrrigationSaltObs	462750.0918	4329808.284	-4.95057	1	3	None	Concentration	Chloride	365	mg/L	23.6112816971852	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2728/A	IrrigationSaltObs	460871.5955	4332166.449	-4.24318	1	3	None	Concentration	Chloride	365	mg/L	15.0000136284433	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2729/A	IrrigationSaltObs	458563.9337	4334593.304	-2.202337	1	3	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2730/A	IrrigationSaltObs	461994.9319	4330880.609	-3.845695	1	3	None	Concentration	Chloride	365	mg/L	15.0466453651467	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2731/A	IrrigationSaltObs	457780.7617	4334765.595	-3.166773	1	3	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2732/A	IrrigationSaltObs	460936.6531	4334875.669	-6.312921	1	3	None	Concentration	Chloride	365	mg/L	22.8944194198064	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2733/A	IrrigationSaltObs	460063.9103	4334432.631	-4.3968	1	2	None	Concentration	Chloride	365	mg/L	14.9994595966432	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2734/A	IrrigationSaltObs	460316.5256	4336395.516	-3.347397	1	3	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2735/A	IrrigationSaltObs	459355.4548	4334391.883	-2.600706	1	2	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2736/A	IrrigationSaltObs	456096.6765	4340828.816	-5.329345	1	3	None	Concentration	Chloride	365	mg/L	15.0171605549431	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2739/A	IrrigationSaltObs	459201.9391	4337923.092	-3.647995	1	3	None	Concentration	Chloride	365	mg/L	18.5886341694742	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2741/A	IrrigationSaltObs	455323.0735	4342945.421	-5.603173	1	3	None	Concentration	Chloride	365	mg/L	14.9997710063134	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2753/A	IrrigationSaltObs	456822.2385	4341470.586	-5.408768	1	3	None	Concentration	Chloride	365	mg/L	14.9999530746326	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2754/A	IrrigationSaltObs	456481.3873	4340994.578	-5.335289	1	2	None	Concentration	Chloride	365	mg/L	38.0260664903875	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2756/A	IrrigationSaltObs	457117.4575	4340123.048	-3.46957	1	3	None	Concentration	Chloride	365	mg/L	15.0000062533959	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2757/A	IrrigationSaltObs	459861.1556	4338952.498	-4.962679	1	3	None	Concentration	Chloride	365	mg/L	15.0000933225074	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2758/A	IrrigationSaltObs	459622.064	4339842.868	-4.234622	1	2	None	Concentration	Chloride	365	mg/L	15.0003832883531	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2759/A	IrrigationSaltObs	460640.4226	4339273.945	-5.886083	1	2	None	Concentration	Chloride	365	mg/L	136.799876171151	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2761/A	IrrigationSaltObs	461790.9104	4338160.1	-5.805945	1	3	None	Concentration	Chloride	365	mg/L	88.7008245799593	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2762/A	IrrigationSaltObs	461252.7615	4338389.832	-5.546266	1	3	None	Concentration	Chloride	365	mg/L	18.6304850641004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2799/A	IrrigationSaltObs	461453.5943	4327966.843	-4.132318	1	3	None	Concentration	Chloride	365	mg/L	15.3378650582303	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2800/A	IrrigationSaltObs	462215.393	4327836.282	-4.782386	1	3	None	Concentration	Chloride	365	mg/L	15.1902993179205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2801/A	IrrigationSaltObs	461944.4383	4327896.807	-4.580469	1	3	None	Concentration	Chloride	365	mg/L	15.2637697133697	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2802/A	IrrigationSaltObs	462951.4224	4328592.888	-5.274344	1	3	None	Concentration	Chloride	365	mg/L	16.4150581547689	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
